1,116
2,295
3,580
4,484
5,519
6,762
7,732
8,860
9,1067
10,1040
11,1336
12,1376
13,2179
14,1618
15,1727
16,1738
17,1865
18,2030
19,2109
20,2305
21,2317
22,2392
23,2524
24,2668
25,2813
26,2851
27,2954
28,3171
29,3294
30,3426
31,3371
32,3593
33,3612
34,3840
35,3814
36,3995
37,4139
38,4290
39,4339
40,4423
41,4577
42,4580
43,4811
44,4849
45,4947
46,5078
47,5143
48,5357
49,5510
50,5532
51,5697
52,5663
53,5928
54,5910
55,6194
56,6116
57,6380
58,6448
59,7619
60,7166
61,6608
62,6896
63,6947
64,7098
65,7172
66,7256
67,7523
68,7497
69,7909
70,8775
71,8405
72,8110
73,8162
74,9474
75,9133
76,9576
77,9754
78,9881
79,9123
80,8852
81,8961
82,8895
83,9121
84,9329
85,10303
86,13286
87,13686
88,12330
89,13114
90,15897
91,13131
92,10180
93,10771
94,10518
95,10471
96,10669
97,10805
98,10926
99,12706
100,16124
