0,286
1,2112
2,1422
3,1681
4,1288
5,2317
6,3225
7,1557
8,1174
9,1176
10,1243
11,1422
12,1004
13,1354
14,2577
15,1171
16,1496
17,1313
18,1062
19,1232
20,1416
21,1218
22,1240
23,1015
24,1001
25,1052
26,1123
27,1109
28,934
29,881
30,930
31,2283
32,1536
33,1313
34,1082
35,1222
36,907
37,1149
38,1003
39,1400
40,1396
41,1014
42,771
43,879
44,979
45,881
46,892
47,730
48,663
49,1019
50,1083
51,827
52,754
53,799
54,892
55,580
56,848
57,828
58,650
59,873
60,778
61,1060
62,749
63,839
64,665
65,609
66,687
67,751
68,962
69,1051
70,1173
71,485
72,1012
73,474
74,578
75,546
76,360
77,312
78,339
79,483
80,391
81,318
82,442
83,442
84,250
85,417
86,486
87,361
88,274
89,201
90,426
91,140
92,129
93,308
94,159
95,148
96,335
97,134
98,208
99,38
