1,545
2,241
3,326
4,360
5,734
6,633
7,712
8,921
9,548
10,1754
11,1150
12,1580
13,1276
14,1360
15,1350
16,1381
17,1278
18,976
19,1389
20,1221
21,2222
22,2291
23,3736
24,1254
25,1496
26,1335
27,1762
28,2516
29,1676
30,1980
31,1944
32,2268
33,2220
34,1955
35,1624
36,2856
37,1819
38,1998
39,2547
40,2014
41,2393
42,2713
43,3914
44,3360
45,4252
46,3324
47,5124
48,3126
49,6243
50,5638
51,4852
52,4314
53,5156
54,4830
55,7216
56,5512
57,5121
58,5159
59,6475
60,6368
61,7171
62,6462
63,9350
64,8781
65,8338
66,8926
67,8210
68,8224
69,9582
70,8598
71,8643
72,9830
73,8621
74,9861
75,8759
76,7638
77,6854
78,7866
79,7547
80,7983
81,7904
82,8110
83,8606
84,8698
85,7744
86,8713
87,9130
88,9849
89,8274
90,8878
91,8558
92,8423
93,9055
94,9436
95,8975
96,11057
97,9569
98,8814
99,10060
100,10609
