0,3110
1,225
2,224
3,131
4,206
5,206
6,193
7,116
8,214
9,138
10,317
11,172
12,222
13,221
14,259
15,189
16,266
17,183
18,315
19,180
20,253
21,307
22,297
23,374
24,353
25,251
26,122
27,158
28,137
29,186
30,112
31,209
32,121
33,193
34,123
35,177
36,204
37,175
38,139
39,158
40,128
41,300
42,122
43,196
44,117
45,178
46,122
47,170
48,121
49,177
50,117
51,111
52,165
53,115
54,166
55,109
56,168
57,116
58,165
59,108
60,169
61,123
62,160
63,120
64,307
65,141
66,193
67,108
68,167
69,113
70,161
71,110
72,163
73,110
74,171
75,111
76,189
77,111
78,175
79,116
80,168
81,110
82,167
83,110
84,109
85,113
86,112
87,175
88,116
89,177
90,145
91,181
92,116
93,171
94,113
95,228
96,186
97,296
98,212
99,275
