1,128
2,224
3,396
4,414
5,447
6,627
7,666
8,793
9,778
10,957
11,1033
12,1087
13,1326
14,1314
15,1414
16,1486
17,1539
18,1745
19,1783
20,1810
21,2029
22,1995
23,2183
24,2208
25,2280
26,2540
27,2513
28,2562
29,2661
30,2728
31,2831
32,2965
33,3023
34,3078
35,3231
36,3334
37,3383
38,3503
39,3505
40,3694
41,3832
42,3777
43,3923
44,4017
45,4147
46,4162
47,4332
48,4447
49,4892
50,4962
51,4795
52,4680
53,4877
54,5204
55,6396
56,5629
57,5995
58,5363
59,5495
60,5753
61,6233
62,6396
63,6511
64,5907
65,5936
66,6626
67,6750
68,8255
69,8704
70,10193
71,7880
72,7606
73,6735
74,7880
75,7416
76,7663
77,7570
78,7899
79,7643
80,9035
81,8923
82,8824
83,7532
84,8261
85,9583
86,10566
87,9095
88,10317
89,11797
90,12077
91,10194
92,8508
93,8507
94,9108
95,11768
96,9537
97,9983
98,9105
99,10834
100,10750
